Lot ID,Material,Weight,Quoted price,Final price,Recycler,Status,Date/time,Location,Payment status
LOT260101005732,Keyboard,4.01 kg,₹131.49,₹124.04,GreenBridge Jamshedpur Collection & Recycling 2080,Completed,01-01-2026 16:17,Jamshedpur,Partial Payment
LOT260101019847,Magnet Assembly,2.87 kg,₹217.67,₹213.83,UrbanRecycle Nashik Sustainable Recycling 4369,Pending Pickup,01-01-2026 16:25,Nashik,Pending
LOT260101010695,Mixed Metal,77.97 kg,"₹3,436.65","₹3,529.16",EcoLink Bhubaneswar Collection & Recycling 0390,Cancelled,01-01-2026 16:30,Bhubaneswar,Not Applicable
LOT260101010755,Motor,6.05 kg,₹661.34,₹690.85,CleanEarth Indore Recovery Centre 3384,Completed,01-01-2026 16:41,Indore,Paid
LOT260101003375,CRT,29.91 kg,₹219.15,₹227.71,UrbanRecycle Bhavnagar Sustainable Recycling 0869,Completed,01-01-2026 17:31,Bhavnagar,Pending
LOT260101000885,CRT,15.35 kg,₹294.82,₹295.47,GreenBridge Solapur Collection & Recycling 0600,Completed,01-01-2026 18:15,Solapur,Paid
LOT260101018290,Keyboard,3.2 kg,₹109.62,₹116.45,ReTech Lucknow Recycler Hub 2963,Completed,01-01-2026 18:42,Lucknow,Paid
LOT260101003148,LCD Panel,4.15 kg,₹231.03,₹240.89,CircularGrid Nashik Sustainable Recycling 3479,Completed,01-01-2026 18:44,Nashik,Pending
LOT260101014722,Mobile,0.5 kg,₹100.66,₹99.39,UrbanRecycle Madurai Sustainable Recycling 3049,Completed,01-01-2026 18:59,Madurai,Paid
LOT260101017286,Magnet Assembly,12.44 kg,"₹1,777.10","₹1,747.73",ReTech Bengaluru Recycler Hub 2063,Handover Confirmed,01-01-2026 19:06,Bengaluru,Paid
LOT260101018509,Keyboard,3.68 kg,₹100.14,₹98.29,CircularGrid Solapur Sustainable Recycling 3359,Completed,01-01-2026 19:13,Solapur,Pending
LOT260101003631,Magnet Assembly,17.22 kg,"₹2,233.44","₹2,181.87",GreenLoop Nashik E-Waste Solutions 2322,Quoted,01-01-2026 19:21,Nashik,Pending
LOT260101017207,PCB,3.86 kg,"₹2,117.01","₹2,009.02",E-Waste Jodhpur Circular Solutions 0505,Completed,01-01-2026 19:28,Jodhpur,Pending
LOT260101002784,Washing Machine,16.48 kg,₹243.94,₹258.58,RecoverX Chennai Circular Solutions 4115,Quoted,01-01-2026 19:39,Chennai,Pending
LOT260101015771,Motor,26.4 kg,"₹2,845.78","₹2,898.28",RecoverX Agartala Circular Solutions 2095,Completed,01-01-2026 19:39,Agartala,Paid
LOT260101013640,Glass,21.91 kg,₹260.15,₹246.80,UrbanRecycle Kanpur Sustainable Recycling 1629,Cancelled,01-01-2026 19:58,Kanpur,Not Applicable
LOT260101009918,Motor,12.06 kg,"₹1,312.13","₹1,267.50",RenewTech Shimla Green Processing 3427,Cancelled,01-01-2026 20:22,Shimla,Not Applicable
LOT260101015857,Keyboard,6.93 kg,₹264.82,₹249.78,CleanEarth Bhubaneswar Recovery Centre 0924,Completed,01-01-2026 20:38,Bhubaneswar,Pending
LOT260101009270,Mobile,1.85 kg,₹278.43,₹257.39,RenewTech Gorakhpur Green Processing 1127,Cancelled,01-01-2026 22:11,Gorakhpur,Not Applicable
LOT260101009472,CRT,22.87 kg,₹325.07,₹304.70,RecyclePro Delhi Recycling Services 3391,Completed,01-01-2026 22:32,Delhi,Paid
LOT260101005844,Printer,19.55 kg,₹254.27,₹249.34,EcoCycle Hisar Recycling Services 2741,Quoted,01-01-2026 22:48,Hisar,Pending
LOT260101011400,Mixed Plastic,56.78 kg,"₹1,388.77","₹1,388.23",WasteWise Gaya Materials Recycling 3858,Completed,01-01-2026 23:02,Gaya,Paid
LOT260101015773,CRT,18.28 kg,₹175.81,₹187.78,ReTech Agra Recycler Hub 1303,Quoted,01-01-2026 23:11,Agra,Pending
LOT260101010767,PCB,3.49 kg,"₹1,367.74","₹1,270.03",Circular Bhubaneswar Resource Recovery 0746,Pending Pickup,01-01-2026 23:58,Bhubaneswar,Pending
LOT260101016018,Mouse,1.33 kg,₹66.77,₹72.89,GreenLoop Haridwar E-Waste Solutions 1322,Completed,01-01-2026 23:59,Haridwar,Paid
LOT260102008287,Mixed Plastic,44.99 kg,"₹1,404.08","₹1,372.07",EcoRecover Salem Green Processing 2577,Quoted,02-01-2026 00:05,Salem,Pending
LOT260102017651,Motor,34.59 kg,"₹2,492.96","₹2,553.61",RecyclePro Pune Recycling Services 4011,Completed,02-01-2026 00:13,Pune,Paid
LOT260102005398,Television,26.76 kg,₹928.53,₹898.00,GreenBridge Gwalior Collection & Recycling 2020,Handover Confirmed,02-01-2026 00:26,Gwalior,Paid
LOT260102017158,Washing Machine,27.77 kg,₹964.16,₹927.15,EarthLoop Bengaluru Recycler Hub 1173,Completed,02-01-2026 00:28,Bengaluru,Partial Payment
LOT260102011743,LCD Panel,18.82 kg,"₹1,274.89","₹1,207.16",RecoverX Roorkee Circular Solutions 3815,Completed,02-01-2026 01:03,Roorkee,Paid
LOT260102003839,Mixed Metal,27.88 kg,"₹1,845.77","₹1,868.95",GreenLoop Bhubaneswar E-Waste Solutions 2882,Completed,02-01-2026 01:03,Bhubaneswar,Paid
LOT260102009652,Glass,11.44 kg,₹57.45,₹57.41,EcoLink Bilaspur Collection & Recycling 3030,Completed,02-01-2026 01:31,Bilaspur,Paid
LOT260102005434,Mobile,1.92 kg,₹563.94,₹531.35,Circular Bathinda Resource Recovery 2566,Completed,02-01-2026 01:32,Bathinda,Paid
LOT260102015601,Cable,48.16 kg,"₹18,608.76","₹18,589.91",GreenMine Visakhapatnam Recovery Centre 2334,Completed,02-01-2026 02:07,Visakhapatnam,Paid
LOT260102016488,PCB,6.52 kg,"₹2,742.52","₹2,899.90",GreenLoop Gurugram E-Waste Solutions 4342,Completed,02-01-2026 02:11,Gurugram,Paid
LOT260102016462,Glass,38.0 kg,₹287.12,₹307.11,EcoLink Solapur Collection & Recycling 3270,Handover Confirmed,02-01-2026 02:26,Solapur,Paid
LOT260102003995,CRT,16.65 kg,₹254.37,₹256.21,Circular Dhanbad Resource Recovery 4706,Cancelled,02-01-2026 03:11,Dhanbad,Not Applicable
LOT260102012050,CRT,24.01 kg,₹134.97,₹143.68,EnviroCycle Shimla E-Waste Solutions 2092,Pending Pickup,02-01-2026 03:25,Shimla,Pending
LOT260102008673,Battery,21.36 kg,"₹3,318.04","₹3,309.98",EcoCycle Sambalpur Recycling Services 3641,Cancelled,02-01-2026 03:28,Sambalpur,Not Applicable
LOT260102016192,Cable,37.41 kg,"₹15,588.51","₹15,618.36",GreenCircuit Meerut Materials Recycling 0768,Quoted,02-01-2026 03:37,Meerut,Pending
LOT260102011516,Mouse,2.66 kg,₹81.90,₹79.25,EarthLoop Gangtok Recycler Hub 0853,Handover Confirmed,02-01-2026 04:08,Gangtok,Pending
LOT260102002478,Motor,17.7 kg,"₹1,662.16","₹1,594.11",RenewTech Coimbatore Green Processing 4027,Handover Confirmed,02-01-2026 04:47,Coimbatore,Paid
LOT260102004662,Washing Machine,73.82 kg,"₹2,351.22","₹2,149.32",EcoRecover Itanagar Green Processing 3077,Completed,02-01-2026 04:57,Itanagar,Paid
LOT260102011540,Microwave,19.31 kg,₹468.10,₹504.70,CleanEarth Siliguri Recovery Centre 2784,Completed,02-01-2026 05:07,Siliguri,Paid
LOT260102019052,Mixed Plastic,42.19 kg,₹513.68,₹468.56,RenewTech Dehradun Green Processing 2447,Completed,02-01-2026 05:16,Dehradun,Pending
LOT260102019788,Keyboard,7.31 kg,₹208.96,₹206.03,GreenLoop Aizawl E-Waste Solutions 0762,Handover Confirmed,02-01-2026 05:36,Aizawl,Paid
LOT260102002838,Keyboard,3.45 kg,₹69.32,₹68.22,CircularGrid Itanagar Sustainable Recycling 1119,Completed,02-01-2026 05:39,Itanagar,Paid
LOT260102008645,Printer,16.32 kg,₹286.78,₹257.67,GreenBridge Gurugram Collection & Recycling 0960,Completed,02-01-2026 05:52,Gurugram,Paid
LOT260102018074,PCB,8.12 kg,"₹3,820.60","₹3,692.95",GreenLoop Nellore E-Waste Solutions 3822,Completed,02-01-2026 06:00,Nellore,Paid
LOT260102001832,LCD Panel,9.36 kg,₹694.46,₹676.95,GreenLoop Amritsar E-Waste Solutions 4582,Completed,02-01-2026 06:12,Amritsar,Paid
LOT260102017441,LCD Panel,14.26 kg,₹787.75,₹769.80,WasteWise Jodhpur Materials Recycling 3798,Completed,02-01-2026 06:15,Jodhpur,Paid
LOT260102013029,LCD Panel,18.34 kg,"₹1,041.07","₹1,054.20",GreenCircuit Amritsar Materials Recycling 0488,Completed,02-01-2026 06:23,Amritsar,Paid
LOT260102013531,Mixed Plastic,69.6 kg,"₹1,524.77","₹1,602.72",RenewTech Aurangabad Green Processing 4247,Completed,02-01-2026 06:31,Aurangabad,Paid
LOT260102003413,PCB,7.2 kg,"₹3,281.15","₹3,405.48",UrbanRecycle Jaipur Sustainable Recycling 0189,Completed,02-01-2026 06:50,Jaipur,Paid
LOT260102007141,Mixed Plastic,78.07 kg,"₹1,725.48","₹1,622.60",E-Waste Hyderabad Circular Solutions 2065,Completed,02-01-2026 06:52,Hyderabad,Paid
LOT260102008783,Mixed Metal,86.31 kg,"₹3,550.21","₹3,598.37",Circular Gangtok Resource Recovery 0586,Handover Confirmed,02-01-2026 08:19,Gangtok,Paid
LOT260102010726,Keyboard,4.31 kg,₹70.10,₹74.16,GreenMine Asansol Recovery Centre 2314,Cancelled,02-01-2026 09:42,Asansol,Not Applicable
LOT260102012086,PCB,4.97 kg,"₹2,709.00","₹2,729.83",Circular Meerut Resource Recovery 2726,Handover Confirmed,02-01-2026 09:44,Meerut,Partial Payment
LOT260102018397,LCD Panel,17.97 kg,₹839.74,₹798.33,GreenLoop Bathinda E-Waste Solutions 1142,Completed,02-01-2026 09:58,Bathinda,Paid
LOT260102006002,PCB,0.52 kg,₹199.19,₹190.94,RecyclePro Jamshedpur Recycling Services 0211,Quoted,02-01-2026 10:23,Jamshedpur,Pending
LOT260102014131,Washing Machine,40.27 kg,"₹1,085.71","₹1,031.80",GreenCircuit Gwalior Materials Recycling 3088,Completed,02-01-2026 10:40,Gwalior,Paid
LOT260102019133,Mixed Plastic,17.79 kg,₹235.04,₹240.38,EcoLink Jabalpur Collection & Recycling 2110,Completed,02-01-2026 10:48,Jabalpur,Paid
LOT260102017022,Television,31.77 kg,₹526.90,₹508.11,EcoCycle Madurai Recycling Services 1981,Quoted,02-01-2026 11:37,Madurai,Pending
LOT260102014928,Cable,32.06 kg,"₹11,512.96","₹11,791.59",RecoverX Ahmedabad Circular Solutions 1615,Handover Confirmed,02-01-2026 11:55,Ahmedabad,Paid
LOT260102009360,Microwave,26.36 kg,₹479.41,₹440.60,GreenLoop Salem E-Waste Solutions 1242,Handover Confirmed,02-01-2026 12:01,Salem,Paid
LOT260102002076,Magnet Assembly,19.63 kg,"₹1,290.12","₹1,295.10",WasteWise Tirupati Materials Recycling 3198,Completed,02-01-2026 13:01,Tirupati,Paid
LOT260102015711,Mobile,5.65 kg,"₹1,042.47","₹1,140.51",EarthLoop Bengaluru Recycler Hub 4733,Pending Pickup,02-01-2026 13:11,Bengaluru,Pending
LOT260102015742,Television,8.6 kg,₹225.66,₹230.90,RecoverX Asansol Circular Solutions 1335,Completed,02-01-2026 13:31,Asansol,Paid
LOT260102006972,CRT,16.87 kg,₹240.28,₹253.02,GreenMine Shimla Recovery Centre 1914,Cancelled,02-01-2026 13:40,Shimla,Not Applicable
LOT260102012973,Magnet Assembly,18.1 kg,"₹1,911.75","₹1,891.92",UrbanRecycle Nellore Sustainable Recycling 4089,Quoted,02-01-2026 13:48,Nellore,Pending
LOT260102008019,Washing Machine,39.48 kg,"₹1,114.36","₹1,075.45",EcoRecover Roorkee Green Processing 0077,Completed,02-01-2026 13:48,Roorkee,Paid
LOT260102009024,Printer,24.54 kg,₹407.38,₹428.96,EnviroCycle Roorkee E-Waste Solutions 4972,Completed,02-01-2026 14:05,Roorkee,Pending
LOT260102006890,Mixed Plastic,66.02 kg,"₹1,559.87","₹1,425.59",RecoverX Durgapur Circular Solutions 2135,Handover Confirmed,02-01-2026 14:12,Durgapur,Paid
LOT260102014663,Mixed Metal,34.8 kg,"₹1,822.50","₹1,728.02",RecyclePro Sambalpur Recycling Services 2751,Completed,02-01-2026 14:29,Sambalpur,Paid
LOT260102018610,Washing Machine,32.7 kg,"₹1,070.47",₹940.10,UrbanRecycle Panaji Sustainable Recycling 2189,Completed,02-01-2026 14:32,Panaji,Pending
LOT260102019460,Keyboard,3.02 kg,₹133.29,₹131.32,Circular Kota Resource Recovery 4106,Cancelled,02-01-2026 14:45,Kota,Not Applicable
LOT260102001671,Printer,14.95 kg,₹137.32,₹132.28,EcoRecover Bokaro Green Processing 0257,Completed,02-01-2026 14:56,Bokaro,Paid
LOT260102000693,Mixed Plastic,69.17 kg,"₹1,771.94","₹1,870.57",WasteWise Gaya Materials Recycling 2078,Completed,02-01-2026 15:11,Gaya,Paid
LOT260102011921,Printer,38.38 kg,"₹1,013.39","₹1,041.73",ScrapSmart Aurangabad Resource Recovery 2556,Quoted,02-01-2026 15:14,Aurangabad,Pending
LOT260102015930,Motor,28.49 kg,"₹1,732.75","₹1,693.48",UrbanRecycle Durgapur Sustainable Recycling 4449,Cancelled,02-01-2026 15:17,Durgapur,Not Applicable
LOT260102007104,Mixed Metal,83.45 kg,"₹2,879.18","₹2,925.25",Circular Gurugram Resource Recovery 3986,Completed,02-01-2026 15:31,Gurugram,Paid
LOT260102009029,PCB,5.26 kg,"₹2,212.58","₹2,281.04",RenewTech Roorkee Green Processing 2747,Completed,02-01-2026 15:36,Roorkee,Pending
LOT260102013562,Glass,7.12 kg,₹59.35,₹54.65,CircularGrid Mumbai Sustainable Recycling 4279,Pending Pickup,02-01-2026 16:12,Mumbai,Pending
LOT260102013896,Printer,10.88 kg,₹139.10,₹128.40,RenewTech Kota Green Processing 3127,Completed,02-01-2026 16:39,Kota,Pending
LOT260102002569,Keyboard,7.13 kg,₹119.34,₹117.13,EcoLink Shimla Collection & Recycling 2270,Quoted,02-01-2026 17:23,Shimla,Pending
LOT260102001423,PCB,9.82 kg,"₹3,972.71","₹3,949.55",UrbanRecycle Ranchi Sustainable Recycling 1189,Completed,02-01-2026 18:02,Ranchi,Paid
LOT260102001407,LCD Panel,19.19 kg,₹909.80,₹972.26,WasteWise Thiruvananthapuram Materials Recycling 2798,Completed,02-01-2026 18:03,Thiruvananthapuram,Pending
LOT260102017393,Printer,26.04 kg,₹421.04,₹433.44,EcoRecover Gangtok Green Processing 0497,Completed,02-01-2026 18:49,Gangtok,Paid
LOT260102000632,Mobile,1.28 kg,₹234.66,₹241.24,EnviroCycle Prayagraj E-Waste Solutions 2432,Cancelled,02-01-2026 18:51,Prayagraj,Not Applicable
LOT260102016312,Keyboard,9.14 kg,₹179.57,₹189.90,GreenLoop Bhubaneswar E-Waste Solutions 2882,Completed,02-01-2026 18:54,Bhubaneswar,Paid
LOT260102015619,Glass,15.52 kg,₹140.94,₹148.26,RecoverX Udaipur Circular Solutions 4155,Quoted,02-01-2026 19:26,Udaipur,Pending
LOT260102006140,Mouse,2.06 kg,₹68.12,₹74.47,RenewTech Amritsar Green Processing 3247,Completed,02-01-2026 19:30,Amritsar,Paid
LOT260102013490,Mouse,0.87 kg,₹41.31,₹43.24,GreenBridge Cuttack Collection & Recycling 0480,Completed,02-01-2026 19:43,Cuttack,Paid
LOT260102010502,Television,17.18 kg,₹303.92,₹298.57,GreenMine Aurangabad Recovery Centre 0954,Quoted,02-01-2026 19:50,Aurangabad,Pending
LOT260102017256,Television,3.6 kg,₹136.71,₹144.10,GreenMine Itanagar Recovery Centre 0674,Completed,02-01-2026 20:10,Itanagar,Partial Payment
LOT260102010312,Keyboard,2.64 kg,₹67.78,₹68.63,WasteWise Sambalpur Materials Recycling 4798,Cancelled,02-01-2026 20:12,Sambalpur,Not Applicable
LOT260102002686,Cable,1.0 kg,₹428.78,₹447.89,CleanEarth Noida Recovery Centre 2324,Completed,02-01-2026 20:15,Noida,Paid
LOT260102019534,LCD Panel,1.11 kg,₹76.30,₹84.56,ReTech Mysuru Recycler Hub 1263,Quoted,02-01-2026 20:28,Mysuru,Pending
LOT260102013108,Battery,25.98 kg,"₹3,692.92","₹3,592.36",GreenBridge Itanagar Collection & Recycling 1920,Completed,02-01-2026 20:32,Itanagar,Partial Payment
LOT260102015353,PCB,9.28 kg,"₹4,637.43","₹5,203.19",GreenBridge Rajkot Collection & Recycling 3360,Quoted,02-01-2026 20:53,Rajkot,Pending
LOT260102003709,Washing Machine,58.97 kg,"₹1,158.50","₹1,206.99",EcoCycle Vadodara Recycling Services 1261,Completed,02-01-2026 21:08,Vadodara,Paid
LOT260102007897,Printer,28.44 kg,₹714.26,₹696.23,EcoLink Vadodara Collection & Recycling 4910,Completed,02-01-2026 21:23,Vadodara,Paid
LOT260102001662,Mixed Plastic,59.31 kg,₹626.18,₹631.55,EnviroCycle Bhopal E-Waste Solutions 3472,Completed,02-01-2026 21:31,Bhopal,Paid
LOT260102008123,Mouse,0.4 kg,₹11.89,₹12.90,EcoLink Indore Collection & Recycling 4630,Completed,02-01-2026 21:50,Indore,Paid
LOT260102009192,Printer,21.18 kg,₹491.97,₹517.14,GreenCircuit Bhopal Materials Recycling 2048,Cancelled,02-01-2026 22:13,Bhopal,Not Applicable
LOT260102009321,Television,25.96 kg,₹912.26,₹843.93,GreenCircuit Surat Materials Recycling 2328,Quoted,02-01-2026 22:32,Surat,Pending
LOT260102010781,Printer,20.44 kg,₹337.33,₹310.04,CircularGrid Pune Sustainable Recycling 1519,Completed,02-01-2026 22:37,Pune,Partial Payment
LOT260102005280,Glass,46.8 kg,₹474.18,₹472.95,GreenMine Durgapur Recovery Centre 4894,Completed,02-01-2026 22:50,Durgapur,Paid
LOT260102016343,PCB,3.57 kg,"₹1,450.63","₹1,375.53",ReTech Prayagraj Recycler Hub 2343,Completed,02-01-2026 22:50,Prayagraj,Paid
LOT260102017635,Mouse,2.86 kg,₹137.73,₹132.36,RecyclePro Gaya Recycling Services 3591,Cancelled,02-01-2026 23:17,Gaya,Not Applicable
LOT260102010358,Mouse,2.75 kg,₹137.72,₹140.13,RenewTech Jalandhar Green Processing 2387,Completed,02-01-2026 23:55,Jalandhar,Paid
LOT260103004983,Washing Machine,55.68 kg,"₹1,465.47","₹1,473.49",EcoRecover Mumbai Green Processing 0897,Completed,03-01-2026 00:14,Mumbai,Pending
LOT260103005948,Microwave,14.88 kg,₹278.19,₹253.89,GreenCircuit Rajkot Materials Recycling 0868,Completed,03-01-2026 00:27,Rajkot,Pending
LOT260103010618,Washing Machine,59.44 kg,₹767.91,₹743.98,EnviroCycle Chennai E-Waste Solutions 3492,Pending Pickup,03-01-2026 00:37,Chennai,Pending
LOT260103012569,Magnet Assembly,1.28 kg,₹152.34,₹156.04,RecyclePro Gorakhpur Recycling Services 0771,Completed,03-01-2026 00:52,Gorakhpur,Paid
LOT260103005277,Keyboard,3.57 kg,₹96.39,₹100.12,ScrapSmart Udaipur Resource Recovery 1396,Pending Pickup,03-01-2026 01:01,Udaipur,Pending
LOT260103006793,Cable,6.8 kg,"₹2,742.47","₹2,916.96",GreenLoop Shillong E-Waste Solutions 0482,Completed,03-01-2026 02:15,Shillong,Paid
LOT260103000230,Mouse,2.65 kg,₹177.25,₹175.92,GreenMine Mumbai Recovery Centre 0274,Completed,03-01-2026 02:20,Mumbai,Paid
LOT260103006678,CRT,16.67 kg,₹219.14,₹235.25,EcoCycle Ranchi Recycling Services 1901,Completed,03-01-2026 02:55,Ranchi,Paid
LOT260103019665,Magnet Assembly,13.76 kg,"₹1,076.43","₹1,056.72",EcoCycle Haridwar Recycling Services 0521,Pending Pickup,03-01-2026 03:35,Haridwar,Pending
LOT260103001604,Mixed Metal,38.53 kg,"₹1,297.61","₹1,307.61",EcoCycle Bhavnagar Recycling Services 1581,Completed,03-01-2026 03:43,Bhavnagar,Paid
LOT260103009948,Keyboard,7.64 kg,₹237.73,₹250.23,Circular Faridabad Resource Recovery 4786,Completed,03-01-2026 04:04,Faridabad,Partial Payment
LOT260103003623,Mouse,2.95 kg,₹123.13,₹117.58,GreenCircuit Asansol Materials Recycling 1068,Pending Pickup,03-01-2026 04:16,Asansol,Pending
LOT260103006092,Mixed Plastic,59.8 kg,"₹1,216.05","₹1,206.76",ReTech Bhavnagar Recycler Hub 1403,Completed,03-01-2026 04:31,Bhavnagar,Pending
LOT260103004732,Washing Machine,41.75 kg,"₹1,308.96","₹1,254.99",GreenLoop Dhanbad E-Waste Solutions 3282,Completed,03-01-2026 04:57,Dhanbad,Paid
LOT260103012562,Mobile,0.79 kg,₹248.64,₹255.92,Circular Vadodara Resource Recovery 3486,Pending Pickup,03-01-2026 05:02,Vadodara,Pending
LOT260103001038,Mixed Plastic,42.96 kg,₹362.59,₹338.00,CleanEarth Pune Recovery Centre 0184,Pending Pickup,03-01-2026 05:07,Pune,Pending
LOT260103016568,Motor,13.74 kg,"₹1,352.25","₹1,384.95",RecoverX Rourkela Circular Solutions 4975,Quoted,03-01-2026 05:10,Rourkela,Pending
LOT260103004243,CRT,26.12 kg,₹327.07,₹313.47,CircularGrid Nagpur Sustainable Recycling 0539,Cancelled,03-01-2026 05:22,Nagpur,Not Applicable
LOT260103007498,Mobile,1.28 kg,₹276.03,₹280.64,GreenCircuit Jalandhar Materials Recycling 3188,Handover Confirmed,03-01-2026 05:29,Jalandhar,Paid
LOT260103009286,Battery,23.85 kg,"₹2,925.72","₹2,917.94",GreenLoop Hyderabad E-Waste Solutions 1442,Pending Pickup,03-01-2026 05:40,Hyderabad,Pending
LOT260103002827,Magnet Assembly,6.59 kg,₹733.82,₹711.70,E-Waste Agra Circular Solutions 2905,Cancelled,03-01-2026 05:46,Agra,Not Applicable
LOT260103007177,Keyboard,3.92 kg,₹172.74,₹183.70,GreenCircuit Warangal Materials Recycling 4888,Completed,03-01-2026 05:55,Warangal,Paid
LOT260103016186,Mouse,2.98 kg,₹170.87,₹173.23,EcoCycle Nellore Recycling Services 1241,Cancelled,03-01-2026 06:15,Nellore,Not Applicable
LOT260103013768,Glass,8.82 kg,₹53.80,₹56.38,ScrapSmart Aizawl Resource Recovery 3076,Handover Confirmed,03-01-2026 06:44,Aizawl,Paid
LOT260103019074,Battery,7.45 kg,₹648.48,₹616.35,RenewTech Kochi Green Processing 0127,Quoted,03-01-2026 06:49,Kochi,Pending
LOT260103017851,Mixed Plastic,9.4 kg,₹273.42,₹305.10,ReTech Solapur Recycler Hub 1223,Handover Confirmed,03-01-2026 07:08,Solapur,Paid
LOT260103004493,Battery,12.8 kg,"₹1,580.23","₹1,649.78",CleanEarth Guwahati Recovery Centre 2884,Quoted,03-01-2026 07:27,Guwahati,Pending
