Recycler ID,Recycler name,Location,Accepted materials,Authorization status,Contact,Rate,Pickup availability,Service area
REC00026,Circular Lucknow Resource Recovery 0026,Lucknow,"Washing Machine, Television, Motor, Mixed Plastic, Magnet Assembly, Mouse",Authorized,+91 9182392832,Washing Machine: ₹18/kg | Television: ₹35/kg | Motor: ₹102/kg | Mixed Plastic: ₹31/kg | Magnet Assembly: ₹144/kg | Mouse: ₹58/kg,Yes,"Lucknow, Kanpur"
REC00027,RenewTech Kanpur Green Processing 0027,Kanpur,"Magnet Assembly, Keyboard, Mixed Metal",Authorized,+91 9979286028,Magnet Assembly: ₹129/kg | Keyboard: ₹32/kg | Mixed Metal: ₹32/kg,No,"Kanpur, Unnao"
REC00028,GreenCircuit Varanasi Materials Recycling 0028,Varanasi,"Printer, Glass, Microwave",Authorized,+91 9200917339,Printer: ₹11/kg | Glass: ₹7/kg | Microwave: ₹21/kg,Yes,"Varanasi, Jaunpur, Prayagraj"
REC00029,UrbanRecycle Prayagraj Sustainable Recycling 0029,Prayagraj,"Washing Machine, Television, Keyboard, Printer, Motor, Mixed Metal",Authorization Verification Pending,+91 9866478426,Washing Machine: ₹28/kg | Television: ₹35/kg | Keyboard: ₹20/kg | Printer: ₹15/kg | Motor: ₹46/kg | Mixed Metal: ₹46/kg,No,"Prayagraj, Varanasi, Mirzapur"
REC00030,EcoLink Patna Collection & Recycling 0030,Patna,"Motor, Mobile, Magnet Assembly, Television, Glass",Authorized,+91 9284403494,Motor: ₹89/kg | Mobile: ₹209/kg | Magnet Assembly: ₹98/kg | Television: ₹30/kg | Glass: ₹9/kg,Yes,"Patna, Hajipur, Nalanda"
REC00031,RecyclePro Gaya Recycling Services 0031,Gaya,"Keyboard, Microwave, LCD Panel, Glass, Mobile, Battery",Authorization Verification Pending,+91 9428364741,Keyboard: ₹16/kg | Microwave: ₹21/kg | LCD Panel: ₹35/kg | Glass: ₹2/kg | Mobile: ₹166/kg | Battery: ₹169/kg,Yes,"Gaya, Nawada"
REC00032,EnviroCycle Ranchi E-Waste Solutions 0032,Ranchi,"Battery, Mixed Plastic, Mixed Metal, Printer",Authorized,+91 9569864498,Battery: ₹128/kg | Mixed Plastic: ₹35/kg | Mixed Metal: ₹42/kg | Printer: ₹9/kg,Yes,"Ranchi, Bokaro"
REC00033,EarthLoop Jamshedpur Recycler Hub 0033,Jamshedpur,"PCB, Mixed Plastic, CRT, Motor, LCD Panel, Mixed Metal",Authorized,+91 9383187973,PCB: ₹545/kg | Mixed Plastic: ₹21/kg | CRT: ₹12/kg | Motor: ₹72/kg | LCD Panel: ₹41/kg | Mixed Metal: ₹77/kg,Yes,Jamshedpur
REC00034,GreenMine Bhubaneswar Recovery Centre 0034,Bhubaneswar,"Mixed Plastic, Microwave, Magnet Assembly, Motor, Glass, Mobile, Mixed Metal, LCD Panel",Authorized,+91 9708548227,Mixed Plastic: ₹22/kg | Microwave: ₹18/kg | Magnet Assembly: ₹145/kg | Motor: ₹50/kg | Glass: ₹8/kg | Mobile: ₹186/kg | Mixed Metal: ₹73/kg | LCD Panel: ₹39/kg,Yes,"Bhubaneswar, Cuttack"
REC00035,RecoverX Cuttack Circular Solutions 0035,Cuttack,"Keyboard, LCD Panel, PCB",Authorized,+91 9397828715,Keyboard: ₹32/kg | LCD Panel: ₹54/kg | PCB: ₹396/kg,No,"Cuttack, Bhubaneswar"
REC00036,ScrapSmart Guwahati Resource Recovery 0036,Guwahati,"Mixed Plastic, Motor, Mixed Metal, Mobile, Battery, Washing Machine, Keyboard",Authorization Verification Pending,+91 9260899946,Mixed Plastic: ₹23/kg | Motor: ₹104/kg | Mixed Metal: ₹77/kg | Mobile: ₹306/kg | Battery: ₹165/kg | Washing Machine: ₹17/kg | Keyboard: ₹16/kg,Yes,"Guwahati, Dispur, Nalbari"
REC00037,EcoRecover Shillong Green Processing 0037,Shillong,"PCB, Mouse, Magnet Assembly, Television",Authorized,+91 9193296338,PCB: ₹490/kg | Mouse: ₹43/kg | Magnet Assembly: ₹97/kg | Television: ₹11/kg,Yes,"Shillong, Nongpoh"
REC00038,WasteWise Kochi Materials Recycling 0038,Kochi,"Printer, Motor, LCD Panel, Glass, Battery, Mouse, Magnet Assembly",Authorization Verification Pending,+91 9417980214,Printer: ₹15/kg | Motor: ₹94/kg | LCD Panel: ₹67/kg | Glass: ₹4/kg | Battery: ₹185/kg | Mouse: ₹55/kg | Magnet Assembly: ₹75/kg,Yes,"Kochi, Aluva"
REC00039,CircularGrid Thiruvananthapuram Sustainable Recycling 0039,Thiruvananthapuram,"PCB, Washing Machine, Microwave, Cable, Motor, Printer",Authorized,+91 9263978665,PCB: ₹384/kg | Washing Machine: ₹24/kg | Microwave: ₹14/kg | Cable: ₹359/kg | Motor: ₹49/kg | Printer: ₹26/kg,No,"Thiruvananthapuram, Kollam"
REC00040,GreenBridge Kozhikode Collection & Recycling 0040,Kozhikode,"Motor, Mobile, Glass, Printer, PCB, Battery",Authorized,+91 9713867324,Motor: ₹80/kg | Mobile: ₹311/kg | Glass: ₹11/kg | Printer: ₹21/kg | PCB: ₹439/kg | Battery: ₹96/kg,Yes,"Kozhikode, Kannur"
REC00041,EcoCycle Chandigarh Recycling Services 0041,Chandigarh,"Glass, Microwave, Mouse, PCB, CRT",Authorized,+91 9207944638,Glass: ₹9/kg | Microwave: ₹14/kg | Mouse: ₹32/kg | PCB: ₹524/kg | CRT: ₹20/kg,Yes,"Chandigarh, Panchkula"
REC00042,GreenLoop Ludhiana E-Waste Solutions 0042,Ludhiana,"Mobile, Printer, Motor, Battery, Glass, Television, Cable, Magnet Assembly",Authorized,+91 9865374414,Mobile: ₹301/kg | Printer: ₹9/kg | Motor: ₹87/kg | Battery: ₹97/kg | Glass: ₹3/kg | Television: ₹35/kg | Cable: ₹411/kg | Magnet Assembly: ₹115/kg,Yes,"Ludhiana, Moga"
REC00043,ReTech Amritsar Recycler Hub 0043,Amritsar,"PCB, Mouse, Mixed Metal, Glass, Mobile",Authorized,+91 9381642243,PCB: ₹451/kg | Mouse: ₹64/kg | Mixed Metal: ₹41/kg | Glass: ₹5/kg | Mobile: ₹162/kg,Yes,"Amritsar, Tarn Taran, Batala"
REC00044,CleanEarth Dehradun Recovery Centre 0044,Dehradun,"Printer, Battery, Washing Machine, Cable, Television",Authorization Verification Pending,+91 9272660362,Printer: ₹21/kg | Battery: ₹113/kg | Washing Machine: ₹20/kg | Cable: ₹355/kg | Television: ₹14/kg,Yes,"Dehradun, Haridwar"
REC00045,E-Waste Shimla Circular Solutions 0045,Shimla,"Battery, Motor, Glass, Mobile, CRT, Microwave, PCB",Authorization Verification Pending,+91 9758372271,Battery: ₹169/kg | Motor: ₹53/kg | Glass: ₹11/kg | Mobile: ₹278/kg | CRT: ₹10/kg | Microwave: ₹15/kg | PCB: ₹475/kg,Yes,"Shimla, Mandi"
REC00046,Circular Jammu Resource Recovery 0046,Jammu,"Mouse, Battery, Cable",Authorized,+91 9116877906,Mouse: ₹20/kg | Battery: ₹74/kg | Cable: ₹381/kg,Yes,"Jammu, Udhampur, Kathua"
REC00047,RenewTech Srinagar Green Processing 0047,Srinagar,"PCB, LCD Panel, Mobile, Microwave, Battery, Mouse, Keyboard, Washing Machine",Authorized,+91 9722948523,PCB: ₹493/kg | LCD Panel: ₹61/kg | Mobile: ₹185/kg | Microwave: ₹15/kg | Battery: ₹126/kg | Mouse: ₹35/kg | Keyboard: ₹24/kg | Washing Machine: ₹30/kg,Yes,"Srinagar, Baramulla, Anantnag"
REC00048,GreenCircuit Agartala Materials Recycling 0048,Agartala,"LCD Panel, Keyboard, Mixed Plastic, Washing Machine",Authorized,+91 9190527562,LCD Panel: ₹39/kg | Keyboard: ₹19/kg | Mixed Plastic: ₹12/kg | Washing Machine: ₹25/kg,Yes,"Agartala, Khowai"
REC00049,UrbanRecycle Imphal Sustainable Recycling 0049,Imphal,"Microwave, Mobile, Cable, PCB",Authorized,+91 9631503257,Microwave: ₹27/kg | Mobile: ₹205/kg | Cable: ₹352/kg | PCB: ₹468/kg,No,Imphal
REC00050,EcoLink Aizawl Collection & Recycling 0050,Aizawl,"Television, PCB, Printer",Authorized,+91 9476607387,Television: ₹13/kg | PCB: ₹528/kg | Printer: ₹19/kg,Yes,"Aizawl, Lunglei"
REC00051,RecyclePro Itanagar Recycling Services 0051,Itanagar,"Mouse, Microwave, LCD Panel, Cable, Magnet Assembly, Keyboard, Glass",Authorized,+91 9725266965,Mouse: ₹34/kg | Microwave: ₹8/kg | LCD Panel: ₹35/kg | Cable: ₹409/kg | Magnet Assembly: ₹75/kg | Keyboard: ₹40/kg | Glass: ₹6/kg,Yes,"Itanagar, Pasighat, Naharlagun"
REC00052,EnviroCycle Gangtok E-Waste Solutions 0052,Gangtok,"CRT, Mixed Plastic, Washing Machine, Television, Cable, Mixed Metal, Microwave",Authorized,+91 9276584362,CRT: ₹9/kg | Mixed Plastic: ₹25/kg | Washing Machine: ₹10/kg | Television: ₹28/kg | Cable: ₹415/kg | Mixed Metal: ₹78/kg | Microwave: ₹18/kg,Yes,"Gangtok, Namchi, Pakyong"
REC00053,EarthLoop Panaji Recycler Hub 0053,Panaji,"Magnet Assembly, Washing Machine, LCD Panel, Microwave, Mixed Plastic",Authorized,+91 9270597080,Magnet Assembly: ₹114/kg | Washing Machine: ₹34/kg | LCD Panel: ₹58/kg | Microwave: ₹15/kg | Mixed Plastic: ₹32/kg,Yes,"Panaji, Mapusa, Margao"
REC00054,GreenMine Mangaluru Recovery Centre 0054,Mangaluru,"Battery, Glass, Washing Machine, Microwave, LCD Panel, CRT, Keyboard",Authorized,+91 9911460036,Battery: ₹98/kg | Glass: ₹10/kg | Washing Machine: ₹17/kg | Microwave: ₹24/kg | LCD Panel: ₹55/kg | CRT: ₹15/kg | Keyboard: ₹26/kg,Yes,"Mangaluru, Udupi, Puttur"
REC00055,RecoverX Hubballi Circular Solutions 0055,Hubballi,"Mixed Metal, Cable, PCB, Microwave",Authorized,+91 9738869038,Mixed Metal: ₹75/kg | Cable: ₹420/kg | PCB: ₹472/kg | Microwave: ₹26/kg,Yes,"Hubballi, Belagavi"
REC00056,ScrapSmart Meerut Resource Recovery 0056,Meerut,"Glass, Washing Machine, Microwave",Authorized,+91 9174891116,Glass: ₹2/kg | Washing Machine: ₹17/kg | Microwave: ₹23/kg,No,Meerut
REC00057,EcoRecover Agra Green Processing 0057,Agra,"Mixed Plastic, Keyboard, Printer, Washing Machine, PCB, Mixed Metal",Authorized,+91 9875858711,Mixed Plastic: ₹13/kg | Keyboard: ₹43/kg | Printer: ₹10/kg | Washing Machine: ₹22/kg | PCB: ₹514/kg | Mixed Metal: ₹57/kg,Yes,"Agra, Mathura, Firozabad"
REC00058,WasteWise Bareilly Materials Recycling 0058,Bareilly,"Battery, Printer, Glass",Authorization Verification Pending,+91 9504932676,Battery: ₹83/kg | Printer: ₹22/kg | Glass: ₹12/kg,Yes,"Bareilly, Shahjahanpur, Pilibhit"
REC00059,CircularGrid Gorakhpur Sustainable Recycling 0059,Gorakhpur,"Keyboard, CRT, Glass, LCD Panel, Microwave, Mobile",Authorized,+91 9707535926,Keyboard: ₹36/kg | CRT: ₹13/kg | Glass: ₹4/kg | LCD Panel: ₹41/kg | Microwave: ₹13/kg | Mobile: ₹270/kg,Yes,"Gorakhpur, Deoria, Kushinagar"
REC00060,GreenBridge Jodhpur Collection & Recycling 0060,Jodhpur,"Keyboard, Glass, Magnet Assembly, PCB, Microwave, Television",Authorization Renewal Pending,+91 9739677699,Keyboard: ₹30/kg | Glass: ₹5/kg | Magnet Assembly: ₹140/kg | PCB: ₹506/kg | Microwave: ₹12/kg | Television: ₹33/kg,Yes,"Jodhpur, Barmer, Pali"
REC00061,EcoCycle Udaipur Recycling Services 0061,Udaipur,"Mixed Metal, Microwave, Motor, Glass, Keyboard, Printer, Cable",Authorized,+91 9746043897,Mixed Metal: ₹72/kg | Microwave: ₹11/kg | Motor: ₹55/kg | Glass: ₹10/kg | Keyboard: ₹29/kg | Printer: ₹21/kg | Cable: ₹374/kg,Yes,"Udaipur, Rajsamand"
REC00062,GreenLoop Gwalior E-Waste Solutions 0062,Gwalior,"Washing Machine, Printer, CRT, Mixed Plastic, Battery, Cable, Magnet Assembly",Authorized,+91 9124220974,Washing Machine: ₹25/kg | Printer: ₹22/kg | CRT: ₹14/kg | Mixed Plastic: ₹21/kg | Battery: ₹76/kg | Cable: ₹393/kg | Magnet Assembly: ₹144/kg,Yes,"Gwalior, Morena, Shivpuri"
REC00063,ReTech Jabalpur Recycler Hub 0063,Jabalpur,"Keyboard, Magnet Assembly, Television, Microwave",Authorization Verification Pending,+91 9893997106,Keyboard: ₹39/kg | Magnet Assembly: ₹112/kg | Television: ₹11/kg | Microwave: ₹28/kg,Yes,"Jabalpur, Katni, Mandla"
REC00064,CleanEarth Aurangabad Recovery Centre 0064,Aurangabad,"LCD Panel, Mouse, Printer, PCB, Microwave, Washing Machine, Keyboard",Authorized,+91 9654127471,LCD Panel: ₹64/kg | Mouse: ₹37/kg | Printer: ₹14/kg | PCB: ₹517/kg | Microwave: ₹17/kg | Washing Machine: ₹13/kg | Keyboard: ₹31/kg,Yes,"Aurangabad, Jalna"
REC00065,E-Waste Kolhapur Circular Solutions 0065,Kolhapur,"Mobile, Microwave, Washing Machine, Printer, Cable, Mixed Plastic, Keyboard, PCB",Authorized,+91 9255442991,Mobile: ₹176/kg | Microwave: ₹9/kg | Washing Machine: ₹29/kg | Printer: ₹23/kg | Cable: ₹470/kg | Mixed Plastic: ₹27/kg | Keyboard: ₹35/kg | PCB: ₹447/kg,Yes,"Kolhapur, Satara"
REC00066,Circular Solapur Resource Recovery 0066,Solapur,"Microwave, Mixed Plastic, PCB, Battery, Cable",Authorized,+91 9223964888,Microwave: ₹26/kg | Mixed Plastic: ₹31/kg | PCB: ₹471/kg | Battery: ₹75/kg | Cable: ₹364/kg,Yes,"Solapur, Akkalkot, Osmanabad"
REC00067,RenewTech Rajkot Green Processing 0067,Rajkot,"Television, Magnet Assembly, Microwave, Mobile, Battery, Glass",Authorized,+91 9292329263,Television: ₹23/kg | Magnet Assembly: ₹98/kg | Microwave: ₹13/kg | Mobile: ₹255/kg | Battery: ₹158/kg | Glass: ₹2/kg,Yes,"Rajkot, Jamnagar, Morbi"
REC00068,GreenCircuit Bhavnagar Materials Recycling 0068,Bhavnagar,"Mixed Plastic, Printer, Cable, Mobile",Authorized,+91 9860512919,Mixed Plastic: ₹23/kg | Printer: ₹8/kg | Cable: ₹410/kg | Mobile: ₹283/kg,No,"Bhavnagar, Amreli, Botad"
REC00069,UrbanRecycle Faridabad Sustainable Recycling 0069,Faridabad,"Printer, Battery, Television, Mouse, CRT",Authorized,+91 9244367552,Printer: ₹27/kg | Battery: ₹114/kg | Television: ₹19/kg | Mouse: ₹35/kg | CRT: ₹7/kg,Yes,"Faridabad, Palwal"
REC00070,EcoLink Gurugram Collection & Recycling 0070,Gurugram,"Mobile, Television, Magnet Assembly",Authorized,+91 9747342402,Mobile: ₹338/kg | Television: ₹33/kg | Magnet Assembly: ₹113/kg,Yes,"Gurugram, Manesar"
REC00071,RecyclePro Hisar Recycling Services 0071,Hisar,"Glass, LCD Panel, Cable, CRT",Authorized,+91 9787544052,Glass: ₹7/kg | LCD Panel: ₹53/kg | Cable: ₹405/kg | CRT: ₹13/kg,Yes,"Hisar, Rohtak, Sirsa"
REC00072,EnviroCycle Karnal E-Waste Solutions 0072,Karnal,"Mouse, Magnet Assembly, Television, Microwave, Cable",Authorized,+91 9682159405,Mouse: ₹24/kg | Magnet Assembly: ₹106/kg | Television: ₹25/kg | Microwave: ₹17/kg | Cable: ₹354/kg,Yes,"Karnal, Kurukshetra, Panipat"
REC00073,EarthLoop Jalandhar Recycler Hub 0073,Jalandhar,"Magnet Assembly, Mobile, Television, Mixed Plastic",Authorized,+91 9343736314,Magnet Assembly: ₹74/kg | Mobile: ₹320/kg | Television: ₹13/kg | Mixed Plastic: ₹25/kg,Yes,"Jalandhar, Ludhiana, Hoshiarpur"
REC00074,GreenMine Bathinda Recovery Centre 0074,Bathinda,"Mobile, Magnet Assembly, Mixed Plastic, Television, Cable, Motor",Authorized,+91 9188953995,Mobile: ₹342/kg | Magnet Assembly: ₹98/kg | Mixed Plastic: ₹24/kg | Television: ₹23/kg | Cable: ₹333/kg | Motor: ₹55/kg,Yes,"Bathinda, Patiala"
REC00075,RecoverX Patiala Circular Solutions 0075,Patiala,"PCB, LCD Panel, Mouse, Motor, Microwave, Washing Machine, Cable, Keyboard",Authorized,+91 9558492886,PCB: ₹424/kg | LCD Panel: ₹67/kg | Mouse: ₹46/kg | Motor: ₹100/kg | Microwave: ₹13/kg | Washing Machine: ₹26/kg | Cable: ₹470/kg | Keyboard: ₹34/kg,No,"Patiala, Ambala"
REC00076,ScrapSmart Haridwar Resource Recovery 0076,Haridwar,"Battery, Magnet Assembly, Mobile, Television, PCB, Mouse, Motor, Microwave",Authorization Renewal Pending,+91 9948569116,Battery: ₹159/kg | Magnet Assembly: ₹135/kg | Mobile: ₹265/kg | Television: ₹35/kg | PCB: ₹401/kg | Mouse: ₹66/kg | Motor: ₹101/kg | Microwave: ₹28/kg,No,Haridwar
REC00077,EcoRecover Roorkee Green Processing 0077,Roorkee,"Battery, Mixed Metal, Washing Machine, Keyboard, Microwave, Motor",Authorized,+91 9739133596,Battery: ₹70/kg | Mixed Metal: ₹64/kg | Washing Machine: ₹21/kg | Keyboard: ₹19/kg | Microwave: ₹18/kg | Motor: ₹66/kg,Yes,"Roorkee, Saharanpur, Haridwar"
REC00078,WasteWise Dhanbad Materials Recycling 0078,Dhanbad,"Cable, Mixed Plastic, Motor, PCB, LCD Panel",Authorized,+91 9210561203,Cable: ₹462/kg | Mixed Plastic: ₹31/kg | Motor: ₹108/kg | PCB: ₹517/kg | LCD Panel: ₹54/kg,Yes,"Dhanbad, Giridih"
REC00079,CircularGrid Bokaro Sustainable Recycling 0079,Bokaro,"Mixed Plastic, Motor, Cable, Glass, Washing Machine, Mouse",Authorized,+91 9625399238,Mixed Plastic: ₹27/kg | Motor: ₹108/kg | Cable: ₹356/kg | Glass: ₹4/kg | Washing Machine: ₹23/kg | Mouse: ₹36/kg,Yes,"Bokaro, Ranchi, Dhanbad"
REC00080,GreenBridge Rourkela Collection & Recycling 0080,Rourkela,"Cable, CRT, Battery",Authorized,+91 9457931691,Cable: ₹384/kg | CRT: ₹14/kg | Battery: ₹132/kg,Yes,"Rourkela, Sambalpur, Jharsuguda"
REC00081,EcoCycle Sambalpur Recycling Services 0081,Sambalpur,"Television, Printer, CRT, Battery, LCD Panel, Magnet Assembly, Keyboard",Authorized,+91 9837979269,Television: ₹11/kg | Printer: ₹20/kg | CRT: ₹8/kg | Battery: ₹123/kg | LCD Panel: ₹73/kg | Magnet Assembly: ₹95/kg | Keyboard: ₹23/kg,No,Sambalpur
