Category,Location,Date,Price/kg,Source
Battery,Noida,08-08-26,₹109,Aggregator
Mobile,Noida,08-08-26,₹208,Recycler
Keyboard,Noida,08-08-26,₹28,Recycler
Mouse,Noida,08-08-26,₹39,Recycler
Printer,Noida,08-08-26,₹18,Market Survey
Television,Noida,08-08-26,₹24,Recycler
Washing Machine,Noida,08-08-26,₹23,Recycler
Microwave,Noida,08-08-26,₹17,Aggregator
Player,Noida,08-08-26,₹50,Recycler
Cable,Noida,08-08-26,₹437,Market Survey
LCD Panel,Noida,08-08-26,₹46,Aggregator
Motor,Noida,08-08-26,₹70,Aggregator
Magnet Assembly,Noida,08-08-26,₹101,Recycler
Metal,Noida,08-08-26,₹53,Aggregator
Plastic,Noida,08-08-26,₹20,Aggregator
Glass,Noida,08-08-26,₹5,Recycler
PCB,Jaipur,08-08-26,₹426,Recycler
Battery,Jaipur,08-08-26,₹99,Aggregator
Mobile,Jaipur,08-08-26,₹199,Aggregator
Keyboard,Jaipur,08-08-26,₹28,Recycler
Mouse,Jaipur,08-08-26,₹36,Aggregator
Printer,Jaipur,08-08-26,₹18,Recycler
Television,Jaipur,08-08-26,₹21,Market Survey
Washing Machine,Jaipur,08-08-26,₹22,Recycler
Microwave,Jaipur,08-08-26,₹17,Market Survey
Player,Jaipur,08-08-26,₹47,Aggregator
Cable,Jaipur,08-08-26,₹369,Aggregator
LCD Panel,Jaipur,08-08-26,₹46,Recycler
Motor,Jaipur,08-08-26,₹72,Recycler
Magnet Assembly,Jaipur,08-08-26,₹97,Market Survey
Metal,Jaipur,08-08-26,₹48,Recycler
Plastic,Jaipur,08-08-26,₹20,Recycler
Glass,Jaipur,08-08-26,₹5,Recycler
PCB,Ahmedabad,08-08-26,₹427,Recycler
Battery,Ahmedabad,08-08-26,₹119,Recycler
Mobile,Ahmedabad,08-08-26,₹228,Market Survey
Keyboard,Ahmedabad,08-08-26,₹26,Aggregator
Mouse,Ahmedabad,08-08-26,₹38,Recycler
Printer,Ahmedabad,08-08-26,₹19,Recycler
Television,Ahmedabad,08-08-26,₹24,Recycler
Washing Machine,Ahmedabad,08-08-26,₹20,Aggregator
Microwave,Ahmedabad,08-08-26,₹17,Recycler
Player,Ahmedabad,08-08-26,₹44,Market Survey
Cable,Ahmedabad,08-08-26,₹374,Recycler
LCD Panel,Ahmedabad,08-08-26,₹46,Aggregator
Motor,Ahmedabad,08-08-26,₹69,Aggregator
Magnet Assembly,Ahmedabad,08-08-26,₹99,Recycler
Metal,Ahmedabad,08-08-26,₹49,Aggregator
Plastic,Ahmedabad,08-08-26,₹21,Aggregator
Glass,Ahmedabad,08-08-26,₹5,Recycler
PCB,Bengaluru,08-08-26,₹371,Aggregator
Battery,Bengaluru,08-08-26,₹111,Aggregator
Mobile,Bengaluru,08-08-26,₹214,Recycler
Keyboard,Bengaluru,08-08-26,₹31,Recycler
Mouse,Bengaluru,08-08-26,₹39,Recycler
Printer,Bengaluru,08-08-26,₹18,Recycler
Television,Bengaluru,08-08-26,₹24,Recycler
Washing Machine,Bengaluru,08-08-26,₹23,Recycler
Microwave,Bengaluru,08-08-26,₹18,Recycler
Player,Bengaluru,08-08-26,₹49,Recycler
Cable,Bengaluru,08-08-26,₹377,Aggregator
LCD Panel,Bengaluru,08-08-26,₹44,Recycler
Motor,Bengaluru,08-08-26,₹71,Recycler
Magnet Assembly,Bengaluru,08-08-26,₹100,Recycler
Metal,Bengaluru,08-08-26,₹53,Aggregator
Plastic,Bengaluru,08-08-26,₹21,Recycler
Glass,Bengaluru,08-08-26,₹5,Recycler
PCB,Hyderabad,08-08-26,₹426,Market Survey
Battery,Hyderabad,08-08-26,₹110,Recycler
Mobile,Hyderabad,08-08-26,₹207,Recycler
Keyboard,Hyderabad,08-08-26,₹28,Recycler
Mouse,Hyderabad,08-08-26,₹36,Aggregator
Printer,Hyderabad,08-08-26,₹17,Recycler
Television,Hyderabad,08-08-26,₹23,Recycler
Washing Machine,Hyderabad,08-08-26,₹22,Recycler
Microwave,Hyderabad,08-08-26,₹17,Recycler
Player,Hyderabad,08-08-26,₹50,Aggregator
Cable,Hyderabad,08-08-26,₹388,Recycler
LCD Panel,Hyderabad,08-08-26,₹44,Market Survey
Motor,Hyderabad,08-08-26,₹81,Recycler
Magnet Assembly,Hyderabad,08-08-26,₹98,Recycler
Metal,Hyderabad,08-08-26,₹51,Recycler
Plastic,Hyderabad,08-08-26,₹19,Aggregator
Glass,Hyderabad,08-08-26,₹5,Recycler
PCB,Chennai,08-08-26,₹418,Recycler
Battery,Chennai,08-08-26,₹116,Recycler
Mobile,Chennai,08-08-26,₹218,Recycler
Keyboard,Chennai,08-08-26,₹28,Recycler
Mouse,Chennai,08-08-26,₹40,Recycler
Printer,Chennai,08-08-26,₹18,Recycler
Television,Chennai,08-08-26,₹22,Market Survey
Washing Machine,Chennai,08-08-26,₹23,Recycler
Microwave,Chennai,08-08-26,₹18,Recycler
Player,Chennai,08-08-26,₹46,Aggregator
Cable,Chennai,08-08-26,₹427,Recycler
LCD Panel,Chennai,08-08-26,₹49,Recycler
Motor,Chennai,08-08-26,₹70,Aggregator
Magnet Assembly,Chennai,08-08-26,₹95,Aggregator
Metal,Chennai,08-08-26,₹54,Recycler
Plastic,Chennai,08-08-26,₹18,Recycler
Glass,Chennai,08-08-26,₹5,Aggregator
PCB,Kolkata,08-08-26,₹393,Recycler
Battery,Kolkata,08-08-26,₹111,Market Survey
Mobile,Kolkata,08-08-26,₹192,Recycler
Keyboard,Kolkata,08-08-26,₹25,Aggregator
Mouse,Kolkata,08-08-26,₹36,Aggregator
Printer,Kolkata,08-08-26,₹17,Aggregator
Television,Kolkata,08-08-26,₹23,Market Survey
Washing Machine,Kolkata,08-08-26,₹22,Recycler
Microwave,Kolkata,08-08-26,₹17,Market Survey
Player,Kolkata,08-08-26,₹49,Recycler
Cable,Kolkata,08-08-26,₹376,Aggregator
LCD Panel,Kolkata,08-08-26,₹42,Recycler
Motor,Kolkata,08-08-26,₹67,Aggregator
Magnet Assembly,Kolkata,08-08-26,₹84,Market Survey
Metal,Kolkata,08-08-26,₹49,Recycler
Plastic,Kolkata,08-08-26,₹20,Recycler
Glass,Kolkata,08-08-26,₹5,Aggregator
PCB,Lucknow,08-08-26,₹405,Aggregator
Battery,Lucknow,08-08-26,₹96,Aggregator
Mobile,Lucknow,08-08-26,₹190,Aggregator
Keyboard,Lucknow,08-08-26,₹29,Recycler
Mouse,Lucknow,08-08-26,₹36,Aggregator
Printer,Lucknow,08-08-26,₹18,Recycler
Television,Lucknow,08-08-26,₹22,Recycler
Washing Machine,Lucknow,08-08-26,₹18,Aggregator
Microwave,Lucknow,08-08-26,₹15,Aggregator
Player,Lucknow,08-08-26,₹45,Recycler
Cable,Lucknow,08-08-26,₹363,Aggregator
LCD Panel,Lucknow,08-08-26,₹42,Recycler
Motor,Lucknow,08-08-26,₹73,Recycler
Magnet Assembly,Lucknow,08-08-26,₹88,Market Survey
Metal,Lucknow,08-08-26,₹50,Recycler
Plastic,Lucknow,08-08-26,₹19,Recycler
Glass,Lucknow,08-08-26,₹5,Recycler
PCB,Bhopal,09-08-26,₹418,Recycler
Battery,Bhopal,09-08-26,₹110,Recycler
Mobile,Bhopal,09-08-26,₹208,Recycler
Keyboard,Bhopal,09-08-26,₹27,Recycler
Mouse,Bhopal,09-08-26,₹33,Recycler
Printer,Bhopal,09-08-26,₹18,Aggregator
Television,Bhopal,09-08-26,₹21,Aggregator
Washing Machine,Bhopal,09-08-26,₹20,Recycler
Microwave,Bhopal,09-08-26,₹17,Recycler
Player,Bhopal,09-08-26,₹46,Recycler
Cable,Bhopal,09-08-26,₹393,Recycler
LCD Panel,Bhopal,09-08-26,₹41,Recycler
Motor,Bhopal,09-08-26,₹71,Recycler
Magnet Assembly,Bhopal,09-08-26,₹85,Aggregator
Metal,Bhopal,09-08-26,₹47,Aggregator
Plastic,Bhopal,09-08-26,₹18,Aggregator
Glass,Bhopal,09-08-26,₹5,Recycler
PCB,Indore,09-08-26,₹402,Aggregator
Battery,Indore,09-08-26,₹113,Recycler
Mobile,Indore,09-08-26,₹206,Recycler
Keyboard,Indore,09-08-26,₹29,Recycler
Mouse,Indore,09-08-26,₹40,Recycler
Printer,Indore,09-08-26,₹17,Recycler
Television,Indore,09-08-26,₹22,Aggregator
Washing Machine,Indore,09-08-26,₹21,Recycler
Microwave,Indore,09-08-26,₹17,Recycler
Player,Indore,09-08-26,₹49,Aggregator
Cable,Indore,09-08-26,₹367,Aggregator
LCD Panel,Indore,09-08-26,₹44,Recycler
Motor,Indore,09-08-26,₹69,Aggregator
Magnet Assembly,Indore,09-08-26,₹96,Recycler
Metal,Indore,09-08-26,₹50,Recycler
Plastic,Indore,09-08-26,₹19,Aggregator
Glass,Indore,09-08-26,₹5,Recycler
PCB,Raipur,09-08-26,₹395,Recycler
Battery,Raipur,09-08-26,₹109,Recycler
Mobile,Raipur,09-08-26,₹193,Aggregator
Keyboard,Raipur,09-08-26,₹27,Recycler
Mouse,Raipur,09-08-26,₹37,Recycler
Printer,Raipur,09-08-26,₹17,Recycler
Television,Raipur,09-08-26,₹22,Aggregator
Washing Machine,Raipur,09-08-26,₹18,Recycler
Microwave,Raipur,09-08-26,₹17,Market Survey
Player,Raipur,09-08-26,₹46,Recycler
Cable,Raipur,09-08-26,₹372,Aggregator
LCD Panel,Raipur,09-08-26,₹40,Market Survey
Motor,Raipur,09-08-26,₹66,Market Survey
Magnet Assembly,Raipur,09-08-26,₹87,Aggregator
Metal,Raipur,09-08-26,₹53,Recycler
Plastic,Raipur,09-08-26,₹20,Recycler
Glass,Raipur,09-08-26,₹5,Recycler
PCB,Nagpur,09-08-26,₹427,Recycler
Battery,Nagpur,09-08-26,₹109,Recycler
Mobile,Nagpur,09-08-26,₹199,Market Survey
Keyboard,Nagpur,09-08-26,₹26,Aggregator
Mouse,Nagpur,09-08-26,₹40,Market Survey
Printer,Nagpur,09-08-26,₹17,Recycler
Television,Nagpur,09-08-26,₹23,Recycler
Washing Machine,Nagpur,09-08-26,₹20,Aggregator
Microwave,Nagpur,09-08-26,₹17,Market Survey
Player,Nagpur,09-08-26,₹45,Aggregator
Cable,Nagpur,09-08-26,₹367,Recycler
LCD Panel,Nagpur,09-08-26,₹43,Market Survey
Motor,Nagpur,09-08-26,₹67,Recycler
Magnet Assembly,Nagpur,09-08-26,₹99,Aggregator
Metal,Nagpur,09-08-26,₹54,Recycler
Plastic,Nagpur,09-08-26,₹19,Recycler
Glass,Nagpur,09-08-26,₹5,Aggregator
PCB,Pune,09-08-26,₹437,Recycler
Battery,Pune,09-08-26,₹116,Recycler
Mobile,Pune,09-08-26,₹227,Recycler
Keyboard,Pune,09-08-26,₹30,Recycler
Mouse,Pune,09-08-26,₹39,Recycler
Printer,Pune,09-08-26,₹18,Recycler
Television,Pune,09-08-26,₹21,Aggregator
Washing Machine,Pune,09-08-26,₹22,Aggregator
Microwave,Pune,09-08-26,₹18,Aggregator
Player,Pune,09-08-26,₹49,Recycler
Cable,Pune,09-08-26,₹372,Aggregator
LCD Panel,Pune,09-08-26,₹46,Recycler
Motor,Pune,09-08-26,₹71,Recycler
Magnet Assembly,Pune,09-08-26,₹95,Aggregator
Metal,Pune,09-08-26,₹56,Recycler
Plastic,Pune,09-08-26,₹21,Aggregator
Glass,Pune,09-08-26,₹5,Recycler
PCB,Mumbai,09-08-26,₹441,Recycler
Battery,Mumbai,09-08-26,₹113,Aggregator
Mobile,Mumbai,09-08-26,₹230,Recycler
Keyboard,Mumbai,09-08-26,₹33,Market Survey
Mouse,Mumbai,09-08-26,₹40,Recycler
Printer,Mumbai,09-08-26,₹20,Market Survey
Television,Mumbai,09-08-26,₹25,Recycler
Washing Machine,Mumbai,09-08-26,₹20,Aggregator
Microwave,Mumbai,09-08-26,₹19,Recycler
Player,Mumbai,09-08-26,₹51,Recycler
Cable,Mumbai,09-08-26,₹404,Recycler
LCD Panel,Mumbai,09-08-26,₹52,Recycler
Motor,Mumbai,09-08-26,₹72,Aggregator
Magnet Assembly,Mumbai,09-08-26,₹104,Recycler
Metal,Mumbai,09-08-26,₹53,Recycler
Plastic,Mumbai,09-08-26,₹22,Recycler
Glass,Mumbai,09-08-26,₹5,Recycler
PCB,Delhi,09-08-26,₹426,Aggregator
Battery,Delhi,09-08-26,₹115,Recycler
Mobile,Delhi,09-08-26,₹222,Recycler
Keyboard,Delhi,09-08-26,₹31,Recycler
Mouse,Delhi,09-08-26,₹44,Market Survey
Printer,Delhi,09-08-26,₹18,Aggregator
Television,Delhi,09-08-26,₹26,Market Survey
Washing Machine,Delhi,09-08-26,₹24,Market Survey
Microwave,Delhi,09-08-26,₹19,Recycler
Player,Delhi,09-08-26,₹49,Aggregator
Cable,Delhi,09-08-26,₹403,Recycler
LCD Panel,Delhi,09-08-26,₹46,Recycler
Motor,Delhi,09-08-26,₹79,Recycler
Magnet Assembly,Delhi,09-08-26,₹100,Recycler
Metal,Delhi,09-08-26,₹57,Aggregator
Plastic,Delhi,09-08-26,₹22,Recycler
Glass,Delhi,09-08-26,₹5,Aggregator
PCB,Noida,09-08-26,₹457,Recycler
Battery,Noida,09-08-26,₹120,Recycler
Mobile,Noida,09-08-26,₹231,Recycler
Keyboard,Noida,09-08-26,₹28,Recycler
Mouse,Noida,09-08-26,₹38,Aggregator
Printer,Noida,09-08-26,₹18,Aggregator
Television,Noida,09-08-26,₹22,Recycler
Washing Machine,Noida,09-08-26,₹22,Recycler
Microwave,Noida,09-08-26,₹17,Aggregator
Player,Noida,09-08-26,₹51,Recycler
Cable,Noida,09-08-26,₹385,Aggregator
LCD Panel,Noida,09-08-26,₹43,Aggregator
Motor,Noida,09-08-26,₹77,Recycler
Magnet Assembly,Noida,09-08-26,₹100,Recycler
Metal,Noida,09-08-26,₹55,Recycler
Plastic,Noida,09-08-26,₹20,Recycler
Glass,Noida,09-08-26,₹5,Recycler
PCB,Jaipur,09-08-26,₹407,Aggregator
Battery,Jaipur,09-08-26,₹113,Recycler
Mobile,Jaipur,09-08-26,₹200,Recycler
Keyboard,Jaipur,09-08-26,₹27,Recycler
Mouse,Jaipur,09-08-26,₹38,Recycler
Printer,Jaipur,09-08-26,₹18,Market Survey
Television,Jaipur,09-08-26,₹22,Recycler
Washing Machine,Jaipur,09-08-26,₹21,Recycler
Microwave,Jaipur,09-08-26,₹17,Recycler
Player,Jaipur,09-08-26,₹47,Market Survey
Cable,Jaipur,09-08-26,₹408,Recycler
LCD Panel,Jaipur,09-08-26,₹45,Recycler
Motor,Jaipur,09-08-26,₹75,Recycler
Magnet Assembly,Jaipur,09-08-26,₹90,Aggregator
Metal,Jaipur,09-08-26,₹48,Recycler
Plastic,Jaipur,09-08-26,₹19,Aggregator
Glass,Jaipur,09-08-26,₹5,Recycler
PCB,Ahmedabad,09-08-26,₹437,Recycler
Battery,Ahmedabad,09-08-26,₹108,Recycler
Mobile,Ahmedabad,09-08-26,₹214,Aggregator
Keyboard,Ahmedabad,09-08-26,₹29,Recycler
Mouse,Ahmedabad,09-08-26,₹38,Recycler
Printer,Ahmedabad,09-08-26,₹19,Recycler
Television,Ahmedabad,09-08-26,₹22,Aggregator
Washing Machine,Ahmedabad,09-08-26,₹23,Market Survey
Microwave,Ahmedabad,09-08-26,₹17,Recycler
Player,Ahmedabad,09-08-26,₹46,Recycler
Cable,Ahmedabad,09-08-26,₹415,Recycler
LCD Panel,Ahmedabad,09-08-26,₹47,Recycler
Motor,Ahmedabad,09-08-26,₹74,Recycler
Magnet Assembly,Ahmedabad,09-08-26,₹94,Aggregator
Metal,Ahmedabad,09-08-26,₹54,Recycler
Plastic,Ahmedabad,09-08-26,₹19,Recycler
Glass,Ahmedabad,09-08-26,₹5,Aggregator
PCB,Bengaluru,09-08-26,₹422,Recycler
Battery,Bengaluru,09-08-26,₹115,Recycler
Mobile,Bengaluru,09-08-26,₹216,Recycler
Keyboard,Bengaluru,09-08-26,₹31,Recycler
Mouse,Bengaluru,09-08-26,₹40,Recycler
Printer,Bengaluru,09-08-26,₹19,Recycler
Television,Bengaluru,09-08-26,₹23,Recycler
Washing Machine,Bengaluru,09-08-26,₹21,Aggregator
Microwave,Bengaluru,09-08-26,₹17,Recycler
Player,Bengaluru,09-08-26,₹49,Recycler
Cable,Bengaluru,09-08-26,₹437,Market Survey
LCD Panel,Bengaluru,09-08-26,₹49,Recycler
Motor,Bengaluru,09-08-26,₹77,Recycler
Magnet Assembly,Bengaluru,09-08-26,₹100,Recycler
Metal,Bengaluru,09-08-26,₹55,Recycler
Plastic,Bengaluru,09-08-26,₹20,Market Survey
Glass,Bengaluru,09-08-26,₹5,Recycler
PCB,Hyderabad,09-08-26,₹463,Recycler
Battery,Hyderabad,09-08-26,₹115,Recycler
Mobile,Hyderabad,09-08-26,₹212,Aggregator
Keyboard,Hyderabad,09-08-26,₹26,Recycler
Mouse,Hyderabad,09-08-26,₹42,Recycler
Printer,Hyderabad,09-08-26,₹18,Aggregator
Television,Hyderabad,09-08-26,₹22,Recycler
Washing Machine,Hyderabad,09-08-26,₹20,Recycler
Microwave,Hyderabad,09-08-26,₹17,Recycler
Player,Hyderabad,09-08-26,₹49,Recycler
Cable,Hyderabad,09-08-26,₹370,Recycler
LCD Panel,Hyderabad,09-08-26,₹47,Recycler
Motor,Hyderabad,09-08-26,₹79,Market Survey
Magnet Assembly,Hyderabad,09-08-26,₹89,Aggregator
Metal,Hyderabad,09-08-26,₹53,Recycler
Plastic,Hyderabad,09-08-26,₹20,Recycler
Glass,Hyderabad,09-08-26,₹5,Recycler
PCB,Chennai,09-08-26,₹419,Aggregator
Battery,Chennai,09-08-26,₹116,Recycler
Mobile,Chennai,09-08-26,₹217,Aggregator
Keyboard,Chennai,09-08-26,₹27,Aggregator
Mouse,Chennai,09-08-26,₹39,Aggregator
Printer,Chennai,09-08-26,₹18,Recycler
Television,Chennai,09-08-26,₹25,Market Survey
Washing Machine,Chennai,09-08-26,₹21,Aggregator
Microwave,Chennai,09-08-26,₹18,Aggregator
Player,Chennai,09-08-26,₹47,Aggregator
Cable,Chennai,09-08-26,₹380,Aggregator
LCD Panel,Chennai,09-08-26,₹47,Recycler
Motor,Chennai,09-08-26,₹76,Recycler
Magnet Assembly,Chennai,09-08-26,₹95,Recycler
Metal,Chennai,09-08-26,₹52,Recycler
Plastic,Chennai,09-08-26,₹21,Market Survey
Glass,Chennai,09-08-26,₹5,Recycler
PCB,Kolkata,09-08-26,₹449,Recycler
Battery,Kolkata,09-08-26,₹119,Aggregator
Mobile,Kolkata,09-08-26,₹218,Recycler
Keyboard,Kolkata,09-08-26,₹26,Aggregator
Mouse,Kolkata,09-08-26,₹38,Recycler
Printer,Kolkata,09-08-26,₹18,Recycler
Television,Kolkata,09-08-26,₹22,Market Survey
Washing Machine,Kolkata,09-08-26,₹21,Recycler
Microwave,Kolkata,09-08-26,₹16,Recycler
Player,Kolkata,09-08-26,₹46,Aggregator
Cable,Kolkata,09-08-26,₹375,Recycler
LCD Panel,Kolkata,09-08-26,₹46,Market Survey
Motor,Kolkata,09-08-26,₹70,Recycler
Magnet Assembly,Kolkata,09-08-26,₹92,Recycler
Metal,Kolkata,09-08-26,₹52,Recycler
Plastic,Kolkata,09-08-26,₹19,Recycler
Glass,Kolkata,09-08-26,₹5,Recycler
PCB,Lucknow,09-08-26,₹431,Market Survey
Battery,Lucknow,09-08-26,₹104,Recycler
Mobile,Lucknow,09-08-26,₹199,Recycler
Keyboard,Lucknow,09-08-26,₹27,Recycler
Mouse,Lucknow,09-08-26,₹37,Recycler
Printer,Lucknow,09-08-26,₹17,Recycler
Television,Lucknow,09-08-26,₹20,Aggregator
Washing Machine,Lucknow,09-08-26,₹21,Recycler
Microwave,Lucknow,09-08-26,₹16,Recycler
Player,Lucknow,09-08-26,₹45,Recycler
Cable,Lucknow,09-08-26,₹360,Aggregator
LCD Panel,Lucknow,09-08-26,₹42,Aggregator
Motor,Lucknow,09-08-26,₹66,Aggregator
Magnet Assembly,Lucknow,09-08-26,₹87,Aggregator
Metal,Lucknow,09-08-26,₹48,Recycler
Plastic,Lucknow,09-08-26,₹19,Recycler
Glass,Lucknow,09-08-26,₹5,Aggregator
PCB,Bhopal,10-08-26,₹417,Aggregator
Battery,Bhopal,10-08-26,₹109,Recycler
Mobile,Bhopal,10-08-26,₹208,Market Survey
Keyboard,Bhopal,10-08-26,₹28,Recycler
Mouse,Bhopal,10-08-26,₹36,Aggregator
Printer,Bhopal,10-08-26,₹17,Recycler
Television,Bhopal,10-08-26,₹21,Recycler
Washing Machine,Bhopal,10-08-26,₹21,Recycler
Microwave,Bhopal,10-08-26,₹17,Recycler
Player,Bhopal,10-08-26,₹50,Recycler
Cable,Bhopal,10-08-26,₹384,Recycler
LCD Panel,Bhopal,10-08-26,₹42,Recycler
Motor,Bhopal,10-08-26,₹71,Recycler
Magnet Assembly,Bhopal,10-08-26,₹91,Recycler
Metal,Bhopal,10-08-26,₹55,Recycler
Plastic,Bhopal,10-08-26,₹19,Recycler
Glass,Bhopal,10-08-26,₹5,Recycler
PCB,Indore,10-08-26,₹444,Recycler
Battery,Indore,10-08-26,₹114,Aggregator
Mobile,Indore,10-08-26,₹217,Recycler
Keyboard,Indore,10-08-26,₹29,Recycler
Mouse,Indore,10-08-26,₹41,Recycler
Printer,Indore,10-08-26,₹18,Aggregator
Television,Indore,10-08-26,₹21,Recycler
Washing Machine,Indore,10-08-26,₹20,Recycler
Microwave,Indore,10-08-26,₹17,Market Survey
Player,Indore,10-08-26,₹47,Aggregator
Cable,Indore,10-08-26,₹370,Aggregator
LCD Panel,Indore,10-08-26,₹48,Recycler
